Shots: 50000
learning_rate, perturbation = SPSA.calibrate(
        loss=lambda x: calculate_cost_function_sampling(x, shots, coefficient_set_2, gate_set_2, cost_history_cal),
        initial_point=x0,
        # target_magnitude=0.2,     # recommended for 1024 shots
        # c=0.15
    )
0.247484 (Num: 0.374315 / Denom: 0.497418)
0.242407 (Num: 0.237788 / Denom: 0.313874)
0.197168 (Num: 0.312576 / Denom: 0.389342)
0.216373 (Num: 0.246661 / Denom: 0.314769)
0.253832 (Num: 0.353051 / Denom: 0.473152)
0.196543 (Num: 0.303903 / Denom: 0.378244)
0.192433 (Num: 0.311781 / Denom: 0.386075)
0.216285 (Num: 0.297053 / Denom: 0.379031)
0.194512 (Num: 0.306803 / Denom: 0.380891)
0.280411 (Num: 0.313014 / Denom: 0.434990)
0.265810 (Num: 0.280117 / Denom: 0.381532)
0.200105 (Num: 0.302358 / Denom: 0.377997)
0.263488 (Num: 0.264675 / Denom: 0.359363)
0.264783 (Num: 0.340332 / Denom: 0.462899)
0.200831 (Num: 0.303341 / Denom: 0.379571)
0.223894 (Num: 0.306846 / Denom: 0.395366)
0.202504 (Num: 0.303719 / Denom: 0.380841)
0.204507 (Num: 0.302760 / Denom: 0.380594)
0.195372 (Num: 0.298707 / Denom: 0.371236)
0.214739 (Num: 0.279810 / Denom: 0.356327)
0.211442 (Num: 0.302563 / Denom: 0.383692)
0.261778 (Num: 0.335451 / Denom: 0.454403)
0.251278 (Num: 0.242326 / Denom: 0.323654)
0.203033 (Num: 0.301213 / Denom: 0.377949)
0.214332 (Num: 0.275535 / Denom: 0.350702)
0.236035 (Num: 0.302262 / Denom: 0.395649)
0.198072 (Num: 0.302071 / Denom: 0.376682)
0.264668 (Num: 0.318372 / Denom: 0.432964)
0.279388 (Num: 0.257223 / Denom: 0.356951)
0.194304 (Num: 0.304415 / Denom: 0.377829)
0.196361 (Num: 0.242815 / Denom: 0.302145)
0.229330 (Num: 0.348684 / Denom: 0.452442)
0.194837 (Num: 0.297932 / Denom: 0.370026)
0.233104 (Num: 0.317688 / Denom: 0.414251)

